adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/ff2ti5DkA9UYLzyqhQfI2kZqEuh.jpg,"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/pZ4hR5IIoHHfNjot9rq4F96OGAi.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",20000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",https://www.lionsgate.com/movies/john-wick,245891,tt2911666,en,John Wick,Ex-hitman John Wick comes out of retirement to track down the gangsters that took everything from him.,70.523,/fZPSd91yGE9fCcCe6OoQr6E3Bev.jpg,"[{'id': 491, 'logo_path': '/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 23008, 'logo_path': '/5SarYupipdiejsEqUkwu1SpYfru.png', 'name': '87Eleven', 'origin_country': 'US'}, {'id': 36259, 'logo_path': None, 'name': 'DefyNite Films', 'origin_country': 'US'}, {'id': 36433, 'logo_path': None, 'name': 'MJW Films', 'origin_country': 'US'}]","[{'iso_3166_1': 'CA', 'name': 'Canada'}, {'iso_3166_1': 'CN', 'name': 'China'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-22,88761661,101,"[{'english_name': 'Hungarian', 'iso_639_1': 'hu', 'name': 'Magyar'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Don't set him off.,John Wick,False,7.377,16142
False,/r17jFHAemzcWPPtoO0UxjIX0xas.jpg,"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/pZ4hR5IIoHHfNjot9rq4F96OGAi.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",40000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.lionsgate.com/movies/john-wick-chapter-2,324552,tt4425200,en,John Wick: Chapter 2,"John Wick is forced out of retirement by a former associate looking to seize control of a shadowy international assassins’ guild. Bound by a blood oath to aid him, Wick travels to Rome and does battle against some of the world’s most dangerous killers.",107.753,/kL99FVq572hNPfMyfQCT7tGFNeQ.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 23008, 'logo_path': '/5SarYupipdiejsEqUkwu1SpYfru.png', 'name': '87Eleven', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2017-02-08,171539887,122,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}]",Released,Never stab the devil in the back.,John Wick: Chapter 2,False,7.279,10524
False,/7thwD7iCKHgPX9NG098msm5TAOH.jpg,"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/pZ4hR5IIoHHfNjot9rq4F96OGAi.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://johnwick.movie,603692,tt10366206,en,John Wick: Chapter 4,"With the price on his head ever increasing, John Wick takes his fight against the High Table global as he seeks out the most powerful players in the underworld, from New York to Paris to Osaka to Berlin.",73.78,/2LBK2475hlrLQT6uwjrnVZ6vc0l.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 23008, 'logo_path': '/5SarYupipdiejsEqUkwu1SpYfru.png', 'name': '87Eleven', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2023-03-22,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Post Production,,John Wick: Chapter 4,False,0.0,0
False,/vVpEOvdxVBP2aV166j5Xlvb5Cdc.jpg,"{'id': 404609, 'name': 'John Wick Collection', 'poster_path': '/pZ4hR5IIoHHfNjot9rq4F96OGAi.jpg', 'backdrop_path': '/fSwYa5q2xRkBoOOjueLpkLf3N1m.jpg'}",55000000,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",https://www.lionsgate.com/movies/john-wick-chapter-3-parabellum,458156,tt6146586,en,John Wick: Chapter 3 - Parabellum,"Super-assassin John Wick returns with a $14 million price tag on his head and an army of bounty-hunting killers on his trail. After killing a member of the shadowy international assassin’s guild, the High Table, John Wick is excommunicado, but the world’s most ruthless hit men and women await his every turn.",89.747,/ziEuG1essDuWuC5lpWUaw1uXY2O.jpg,"[{'id': 491, 'logo_path': '/rUp0lLKa1pr4UsPm8fgzmnNGxtq.png', 'name': 'Summit Entertainment', 'origin_country': 'US'}, {'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}, {'id': 3528, 'logo_path': '/cCzCClIzIh81Fa79hpW5nXoUsHK.png', 'name': 'Thunder Road', 'origin_country': 'US'}, {'id': 23008, 'logo_path': '/5SarYupipdiejsEqUkwu1SpYfru.png', 'name': '87Eleven', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2019-05-15,326709727,130,"[{'english_name': 'Mandarin', 'iso_639_1': 'zh', 'name': '普通话'}, {'english_name': 'Japanese', 'iso_639_1': 'ja', 'name': '日本語'}, {'english_name': 'Russian', 'iso_639_1': 'ru', 'name': 'Pусский'}, {'english_name': 'Latin', 'iso_639_1': 'la', 'name': 'Latin'}, {'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}, {'english_name': 'Arabic', 'iso_639_1': 'ar', 'name': 'العربية'}, {'english_name': 'Italian', 'iso_639_1': 'it', 'name': 'Italiano'}, {'english_name': 'Indonesian', 'iso_639_1': 'id', 'name': 'Bahasa indonesia'}]",Released,Every action has consequences.,John Wick: Chapter 3 - Parabellum,False,7.435,8219
False,,,0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]",,730629,tt12844100,en,John Wick: Chapter 5,"The fifth instalment in the John Wick franchise, confirmed to be in development.",29.274,/ndPy3KNHsbPQcoHU9RK92hSwEJ0.jpg,"[{'id': 1632, 'logo_path': '/cisLn1YAUuptXVBa0xjq7ST9cH0.png', 'name': 'Lionsgate', 'origin_country': 'US'}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",,0,0,"[{'english_name': 'English', 'iso_639_1': 'en', 'name': 'English'}]",Planned,,John Wick: Chapter 5,False,0.0,0
False,,,0,[],,619022,tt5278698,en,John Wick: Assassin's Code (Extra),John Wick Movie Extra,24.875,/fJbw16AwM59dEhSiCIAfFGgIgOP.jpg,[],[],2015-02-03,0,5,[],Released,John Wick's world vs. the assassin underworld,John Wick: Assassin's Code (Extra),True,8.4,19
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,600991,tt7161856,en,Training 'John Wick',A look at the fight choreography being developed for the film.,10.399,/1x1fEoDe3GKBYh4iR4jhrouRXzT.jpg,[],[],2017-06-13,0,12,[],Released,,Training 'John Wick',True,7.133,15
False,/vWNGnjBB3pa6R8slwjhwDxRqBUf.jpg,,0,"[{'id': 99, 'name': 'Documentary'}]",,651445,tt7161870,en,John Wick Chapter 2: Wick-vizzed,A candid look at rehearsal footage in support of a focus on pre-viz.,11.293,/qQFBj2tBlkKhAcAgDVpdFWLX5x.jpg,"[{'id': 120268, 'logo_path': None, 'name': 'Narrator', 'origin_country': ''}]",[],2017-06-13,0,5,[],Released,,John Wick Chapter 2: Wick-vizzed,True,7.6,49
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,600987,tt5278630,en,Don't F*#% With John Wick,Behind the scenes look at fight choreography and action training.,7.901,/d3m7SxiehljQ2r5dIHg7fGjfLXp.jpg,[],[],2015-02-03,0,15,[],Released,,Don't F*#% With John Wick,False,8.342,19
False,,,0,"[{'id': 99, 'name': 'Documentary'}]",,600990,tt5278542,en,John Wick: Calling in the Cavalry,Short documentary that looks at a number of elements like the initial pitch for the project and the 2nd Unit action sequences.,4.61,/gps49Xqjv0C6Kplb9jgDVAaE9CF.jpg,[],[],2015-02-03,0,12,[],Released,,John Wick: Calling in the Cavalry,False,7.5,13
